,index,위경도 missing
446,2415,서울특별시 동대문구 용두동 74-6번지 
447,2416,서울특별시 동대문구 용두동 712-84번지 
448,2417,서울특별시 동대문구 용두동 687-3번지 
449,2418,서울특별시 동대문구 용두동 66-7번지 (용일안길11) 
450,2420,서울특별시 동대문구 용두동 687-2번지 
451,2423,서울특별시 동대문구 전농동 655-22번지 1통4반 (답십리길89-4) 
452,2426,서울특별시 동대문구 전농동 352-5번지 
453,2430,서울특별시 동대문구 답십리동 473-38번지 (간데메동길6) 
454,2431,서울특별시 동대문구 용두동 73-47번지 (하정로121-3) 
455,2437,서울특별시 동대문구 제기동 466번지 
456,2445,서울특별시 송파구 장지동 산 207-3번지 
457,2457,서울특별시 동대문구 용두동 687-24번지 
458,2479,서울특별시 동대문구 전농동 433-7번지 (적전2길3) 
459,2481,"서울특별시 동대문구 장안동 364-3번지 지상1,2,3,4,5,6층 "
460,2483,서울특별시 동대문구 답십리동 522번지 (적전1길7) 
461,2498,서울특별시 동대문구 용두동 687-5번지 
462,2500,서울특별시 동대문구 용두동 689-34번지 
463,2505,서울특별시 동대문구 용두동 90-3번지 1통7반 
464,2508,서울특별시 동대문구 답십리동 477-48번지 (사가정길36-2) 
465,2511,서울특별시 동대문구 장안동 111-5번지 
466,2514,"서울특별시 동대문구 전농동 620-103번지 2,3,4층 "
467,2517,서울특별시 동대문구 용두동 75-14번지 
468,2518,서울특별시 동대문구 답십리동 498-50번지 
469,2519,서울특별시 동대문구 전농동 429-2번지 (적전1길15-5) 
470,2520,서울특별시 동대문구 전농동 45-36번지 (전동새싹길35-4) 
471,2530,서울특별시 동대문구 제기동 892-74번지 20통4반 (약령서1길48) 
472,2539,서울특별시 동대문구 장안동 345-12번지 
473,2547,서울특별시 동대문구 이문동 346-43번지 
474,2554,"서울특별시 동대문구 전농동 124-66번지 ,68    (전농로213) "
475,2565,서울특별시 동대문구 용두동 65-15번지 (용두일길36) 
476,2644,서울특별시 중랑구 상봉동 80-4번지 
477,2653,서울특별시 중랑구 상봉동 474-11번지 
478,2654,서울특별시 중랑구 중화동 산 304-29번지 
479,2656,서울특별시 중랑구 중화동 412-27번지 
480,2678,"서울특별시 중랑구 망우동 506-12 ,21,22 "
481,2683,서울특별시 성북구 하월곡동 88-638번지 
482,2716,서울특별시 중랑구 망우동 358-1번지 
483,2722,서울특별시 중랑구 묵동 164-21번지 
484,2726,서울특별시 중랑구 중화동 429-8번지 
485,2727,서울특별시 중랑구 중화동 412-39번지 
486,2728,서울특별시 중랑구 망우동 203-166번지 
487,2736,서울특별시 중랑구 면목동 1031-200번지 
488,2737,서울특별시 중랑구 중화동 412-34번지 
489,2740,서울특별시 중랑구 면목동 617-10번지 
490,2742,서울특별시 중랑구 중화동 326-52 
491,2751,서울특별시 중랑구 상봉동 126-16번지 
492,2752,서울특별시 중랑구 묵동 170-35번지 
493,2753,서울특별시 중랑구 중화동 165-2번지 
494,2758,서울특별시 중랑구 면목동 717-12번지 
495,2760,서울특별시 중랑구 상봉동 434-0번지 
496,2818,서울특별시 성북구 석관동 330-20번지 
497,2822,서울특별시 성북구 석관동 58-324번지 
