,index,위경도 missing
371,1805,서울특별시 성동구 행당동 317-0번지 
372,1806,서울특별시 성동구 성수동2가 280-46번지 
373,1809,서울특별시 성동구 성수동1가 561-2번지 
374,1810,서울특별시 성동구 금호동3가 1305-1 
375,1813,서울특별시 성동구 행당동 322-300번지 
376,1819,서울특별시 성동구 금호동2가 215-0번지 
377,1820,서울특별시 성동구 금호동2가 600-0번지 
378,1821,서울특별시 성동구 금호동2가 1138-0번지 
379,1822,서울특별시 성동구 금호동2가 1162-2번지 
380,1826,서울특별시 성동구 행당동 322-15번지 
381,1827,서울특별시 성동구 금호동4가 1078-6번지 
382,1844,서울특별시 성동구 금호동2가 939-0번지 
383,1857,서울특별시 성동구 금호동4가 64-1번지 
384,1858,서울특별시 성동구 금호동4가 955-1번지 
385,1865,서울특별시 성동구 금호동1가 1781번지 
386,1873,서울특별시 성동구 상왕십리동 269-1번지 
387,1877,서울특별시 성동구 홍익동 490-0번지 
388,1880,서울특별시 성동구 상왕십리동 263-8번지 
389,1886,서울특별시 성동구 금호동4가 955-1번지 
390,1890,서울특별시 동작구 상도동 348-48번지 
391,1897,서울특별시 성동구 용답동 228-10 
392,1904,서울특별시 성동구 금호동1가 580-0번지 
393,1905,서울특별시 성동구 송정동 1-42번지 
394,1907,서울특별시 성동구 용답동 118-5번지 
395,1909,서울특별시 성동구 도선동 285-1번지 호텔투유 
396,1911,서울특별시 성동구 송정동 1-42번지 
397,1917,서울특별시 성동구 상왕십리동 762-4번지 
398,1920,서울특별시 성동구 행당동 298-75번지 
399,1921,서울특별시 성동구 송정동 1-42번지 
400,1930,서울특별시 성동구 옥수동 276-1번지 
401,1931,서울특별시 성동구 옥수동 21-1번지 
402,1936,서울특별시 성동구 상왕십리동 54-2번지 
403,1937,서울특별시 성동구 하왕십리동 147-0번지 
404,1942,서울특별시 성동구 금호동1가 1781-0번지 
405,1943,서울특별시 성동구 금호동4가 64-1번지 
406,1952,서울특별시 성동구 상왕십리동 340-1번지 
407,1953,서울특별시 성동구 금호동2가 939번지 
408,1969,서울특별시 성동구 용답동 114-4번지 
409,1971,서울특별시 성동구 성수동2가 333-24번지 
410,1979,서울특별시 성동구 하왕십리동 970-60번지 
411,1982,서울특별시 성동구 상왕십리동 752-0번지 
412,1985,서울특별시 성동구 도선동 101번지 
