,사업장명,지번주소,도로명주소,위도,경도,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,데이터갱신일자,업태구분명,한실수,양실수,욕실수
84,호텔 베르누이,서울특별시 구로구 오류동 31-277 호텔 베르누이,"서울특별시 구로구 경인로 229 (오류동, 호텔 베르누이)",37.4974347629415,126.845972051135,2014-12-05,,1,,,,,2022-12-04 00:02:00.0,관광호텔,,,
85,하이스테이 강동43,서울특별시 강동구 길동 413-14,서울특별시 강동구 진황도로43길 3 (길동),37.5357935663962,127.138104350324,2011-12-30,,1,,,,,2022-12-04 00:02:00.0,여관업,,,
86,포포인츠 바이 쉐라톤 서울 구로,서울특별시 구로구 구로동 1128-1,서울특별시 구로구 디지털로32길 72 (구로동),37.4831837029804,126.898856674536,2010-11-25,,1,,,,,2022-12-04 00:02:00.0,관광호텔,,,
87,이프모텔,서울특별시 강동구 길동 413-43,서울특별시 강동구 양재대로109길 11 (길동),37.536153614004,127.13863577332,1985-06-19,,1,,,,,2022-12-04 00:02:00.0,여관업,,,
88,휴호텔,서울특별시 강남구 논현동 116,"서울특별시 강남구 학동로43길 8, 지상3~5층 (논현동)",37.5166294605324,127.037462121204,1983-02-23,,1,,,,,2022-12-04 00:02:00.0,여관업,,,
89,혜화여관,서울특별시 종로구 명륜4가 162-3,서울특별시 종로구 대학로11길 37 (명륜4가),37.5822318804027,126.999580995386,1978-08-28,,1,,,,,2022-12-04 00:02:00.0,여관업,,,
90,구로제이에스호스텔,서울특별시 구로구 가리봉동 135-25,서울특별시 구로구 남부순환로105길 32 (가리봉동),37.4795068234169,126.891005748124,2018-08-30,,1,,,,,2022-12-04 00:02:00.0,관광호텔,,,
91,바모스하우스,서울특별시 구로구 가리봉동 135-30 바모스하우스,"서울특별시 구로구 남부순환로105다길 12, 바모스하우스 (가리봉동)",37.4796596862038,126.891257421343,2018-06-27,,1,,,,,2022-12-04 00:02:00.0,숙박업(생활),,,
92,메이필드호텔,서울특별시 강서구 외발산동 426,서울특별시 강서구 방화대로 94 (외발산동),37.5478957237892,126.819507121486,20020705,,1,,,,,2021-12-03 22:02:00.0,관광호텔,,,
93,위코스테이 동대문,서울특별시 중구 쌍림동 25-16,"서울특별시 중구 퇴계로53길 8, 2~10층 (쌍림동)",,,2023-03-31,,1,,,,,2022-12-04 00:05:00.0,숙박업(생활),,,
94,은성,서울특별시 성북구 정릉동 771-28,서울특별시 성북구 보국문로 149-6 (정릉동),37.6161965456645,127.004381897298,2002-05-01,,3,2023-02-14,,,,2022-12-01 23:06:00.0,여관업,,,
95,종로하루,서울특별시 종로구 원남동 233 종로하루,"서울특별시 종로구 창경궁로21가길 5-3, 종로하루 (원남동)",37.5749736025031,126.99655206599,2023-02-16,,1,,,,,2022-12-01 23:08:00.0,숙박업(생활),,,
96,모텔봄 남구로점,서울특별시 구로구 구로동 705-26,서울특별시 구로구 구로동로25길 26 (구로동),37.490696684325,126.882516854068,19960424,,1,,,,,2021-12-06 23:04:00.0,여관업,,,
97,호텔굳타임,서울특별시 서대문구 대현동 104-41,서울특별시 서대문구 신촌로 145 (대현동),37.5568159299718,126.942122993715,20000927,,1,,,,,2021-12-04 00:07:00.0,여관업,,,
98,제일모텔,서울특별시 구로구 구로동 733-7,서울특별시 구로구 구로동로22길 17-5 (구로동),37.4897156849941,126.885470754041,19981215,,1,,,,,2021-12-04 22:05:00.0,여인숙업,,,
99,메트로21,서울특별시 관악구 남현동 602-14,서울특별시 관악구 승방2길 7 (남현동),37.4741434731563,126.981001499028,19991116,,1,,,,,2021-12-03 23:04:00.0,여관업,,,
100,스테이다다 왕십리점,서울특별시 성동구 도선동 360,"서울특별시 성동구 무학로 2 (도선동, 360)",37.5644427215751,127.030270155789,20021108,,1,,,,,2021-10-30 22:00:00.0,여관업,,,
101,젠모텔,서울특별시 성동구 도선동 117-0,서울특별시 성동구 왕십리로22길 11-6 (도선동),,,19941230,,3,20220421,,,,2021-12-03 22:03:00.0,여관업,,,
102,노원모텔,서울특별시 노원구 상계동 703-1,서울특별시 노원구 노해로75길 14-7 (상계동),37.6545494279044,127.05774086453,19891223,,1,,,,,2021-12-03 22:03:00.0,여관업,,,
103,썬파크모텔,서울특별시 성동구 도선동 115-0,서울특별시 성동구 왕십리로22길 13 (도선동),,,19891107,,3,20220421,,,,2021-12-03 22:03:00.0,여관업,,,
104,브라운스위트 신촌 센트럴,서울특별시 마포구 노고산동 57-26 신촌센트럴코업레지던스 3~14층,"서울특별시 마포구 서강로 137, 신촌센트럴코업레지던스 3~14층 (노고산동)",37.5546682650878,126.935593828622,2022-12-27,,1,,,,,2022-12-04 00:05:00.0,숙박업(생활),,,
105,가든파크,서울특별시 구로구 오류동 55-57,서울특별시 구로구 경인로22길 8 (오류동),37.4956298006808,126.844202844116,19881230,,1,,,,,2021-12-06 23:04:00.0,여관업,,,
106,알게호(Rgeho),서울특별시 종로구 낙원동 111-4번지 ,서울특별시 종로구 수표로28길 12-3 (낙원동),37.5730416078269,126.989218041687,19890503,,1,,,,,2018-08-31 23:59:59.0,여관업,0.0,16.0,15.0
107,이파리 숙소,서울특별시 은평구 응암동 733-5,서울특별시 은평구 가좌로7나길 15 (응암동),37.5850400457321,126.918984385974,1973-12-24,,1,,,,,2022-12-04 00:05:00.0,여관업,,,
108,더쉐어(The Share),서울특별시 중구 인현동1가 158,서울특별시 중구 충무로 24 (인현동1가),37.5634061273569,126.993402762749,2021-02-01,,1,,,,,2022-12-04 00:02:00.0,숙박업(생활),,,
109,동신,서울특별시 종로구 낙원동 283-14,서울특별시 종로구 인사동길 22-7 (낙원동),,,1988-09-21,,3,2023-04-25,,,,2022-12-03 22:07:00.0,여관업,,,
110,위코스테이 남산,서울특별시 중구 필동1가 43-1,"서울특별시 중구 충무로 3, 3~5, 7~20층 (필동1가)",,,2023-03-31,,1,,,,,2022-12-03 23:03:00.0,숙박업(생활),,,
111,강남패밀리 호텔,"서울특별시 강남구 논현동 205-8 지상2,3,4,5,6,12,13(각층전체)","서울특별시 강남구 봉은사로 143 (논현동, 지상2,3,4,5,6,12,13(각층전체))",37.5064762326282,127.030192560403,2015-07-27,,1,,,,,2022-12-04 00:09:00.0,숙박업(생활),,,
112,온앤오프,서울특별시 강북구 수유동 48-26,서울특별시 강북구 덕릉로24길 10 (수유동),37.6340808029062,127.021926858465,1993-04-22,,1,,,,,2022-12-02 22:05:00.0,여관업,,,
113,스텝인 명동1,서울특별시 중구 명동1가 7-1,"서울특별시 중구 명동길 55, 12층,13층,14층 (명동1가)",37.5641417024991,126.985394525951,2014-11-24,,1,,,,,2022-12-04 00:06:00.0,일반호텔,,,
114,유림,서울특별시 중랑구 면목동 120-13,서울특별시 중랑구 겸재로 171-1 (면목동),37.5884448281043,127.086692809105,1970-10-06,,1,,,,,2022-12-04 00:06:00.0,여관업,,,
115,태양장,서울특별시 성동구 마장동 797-84,서울특별시 성동구 마조로19길 13 (마장동),37.5649341760939,127.040078182352,1983-03-23,,1,,,,,2022-12-04 00:08:00.0,여관업,,,
116,달동네모텔,서울특별시 강북구 미아동 36-11,서울특별시 강북구 월계로3길 46 (미아동),37.6117967084954,127.031390779495,1981-12-10,,3,2023-04-07,,,,2022-12-04 00:09:00.0,여관업,,,
117,제이디타워 레지던스,서울특별시 중구 오장동 139-1,"서울특별시 중구 동호로 347, 7층~11층 (오장동)",37.5653499228279,127.002062970653,2023-02-22,,1,,,,,2022-12-01 22:05:00.0,숙박업(생활),,,
118,금성장,서울특별시 강동구 성내동 434-22,서울특별시 강동구 성안로 40 (성내동),37.5272747005326,127.130656522275,1982-07-12,,1,,,,,2022-12-05 00:05:00.0,여관업,,,
119,(주)호텔롯데롯데시티호텔마포,서울특별시 마포구 공덕동 467,서울특별시 마포구 마포대로 109 (공덕동),37.5451188164137,126.950886259458,2009-02-23,,1,,,,,2022-12-01 22:05:00.0,관광호텔,,,
120,더코노셔,서울특별시 영등포구 여의도동 15-13 호텔 더 디자이너스 여의도,"서울특별시 영등포구 국회대로68길 24, 라포르테 블랑 여의도 (여의도동)",37.5282491675236,126.920128182176,2022-10-25,,1,,,,,2022-12-01 23:06:00.0,숙박업(생활),,,
121,위코스테이 명동,서울특별시 중구 충무로4가 334,"서울특별시 중구 창경궁로1길 14, 3층~15층 (충무로4가)",37.562914973022,126.997556569684,20220516,,1,,,,,2021-11-01 00:07:00.0,숙박업(생활),,,
