,사업장명,관광숙박업상세명,건물용도명,지번주소,도로명주소,위도,경도,객실수,시설면적,시설규모,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,데이터갱신일자
330,영호스텔,호스텔업,,서울특별시 강북구 수유동 570-2번지 영호스텔 ,"서울특별시 강북구 4.19로 26 (수유동, 모텔 영)",37.6477074292874,127.011393642552,,711.58,712.0,20161208,,1,,,,,2018-08-31 23:59:59.0
331,소피아관광호텔,관광호텔업,,서울특별시 도봉구 쌍문동 88-1번지 ,서울특별시 도봉구 도봉로 511 (쌍문동),37.6510853835812,127.035785476457,51.0,,,19900905,,3,20190517,,,,2019-05-22 02:40:00.0
332,D.H 네상스,,,"서울특별시 성북구 동선동1가 92-20 외 3필지(92-21, 92-26, 92-27)",서울특별시 성북구 동소문로20나길 39 (동선동1가),,,,,,20111214,,1,,,,,2021-12-04 23:08:00.0
333,호텔아카데미하우스,,,서울특별시 강북구 수유동 산 76,서울특별시 강북구 4.19로 135 (수유동),37.6406584019352,127.001367447823,,,,19980713,,2,,20210705,20220704,,2021-12-05 22:09:00.0
334,쏠라리움씨티,,,서울특별시 강북구 번동 443-6,서울특별시 강북구 덕릉로 111 (번동),37.6351692502231,127.026076576838,,,,20140325,,2,,20221128,20230531,,2021-11-02 00:01:00.0
335,파라스파라 서울,,,서울특별시 강북구 우이동 346 파라스파라 서울,"서울특별시 강북구 삼양로 689, 파라스파라 서울 (우이동)",37.664154015446,127.009765105915,,,,20210826,,1,,,,,2021-11-01 23:08:00.0
336,호텔 빅토리아,,,서울특별시 강북구 미아동 42-8,서울특별시 강북구 도봉로 16 (미아동),37.6105932282419,127.03081764695,,,,19910416,,2,,20230101,20241231,,2021-11-01 21:01:00.0
337,더데이 관광호텔,관광호텔업,호텔,서울특별시 도봉구 도봉동 560-16번지 ,"서울특별시 도봉구 도봉로 903 (도봉동, 더데이호텔)",37.6851120992549,127.045641433422,60.0,4999.78,5000.0,20170525,,1,,,,,2018-08-31 23:59:59.0
338,(주)써클관광개발 호텔베이 204,관광호텔업,호텔,서울특별시 도봉구 방학동 705-13번지 ,서울특별시 도봉구 도봉로 710 (방학동),37.6678124335616,127.043649928635,72.0,3980.59,3981.0,20170706,,1,,,,,2018-10-11 23:59:59.0
339,세피아관광호텔,관광호텔업,숙박시설,서울특별시 노원구 상계동 706번지 ,서울특별시 노원구 노해로75길 20-17 (상계동),37.6549472507235,127.058211241322,49.0,2081.15,2081.0,20140213,,3,20150204,,,,2018-08-31 23:59:59.0
340,프라임인서울호텔,관광호텔업,,서울특별시 은평구 불광동 302-13 ,서울특별시 은평구 통일로 816 (불광동),37.6168781862647,126.923888268248,,5203.5,5204.0,20050218,,3,20210730,,,,2021-08-01 02:40:00.0
341,호텔디아티스트 연신내점,관광호텔업,,서울특별시 은평구 갈현동 393-9번지 ,서울특별시 은평구 통일로 891 (갈현동),37.6224972062881,126.919426192045,,2213.15,2213.0,20190307,,1,,,,,2019-04-12 02:40:00.0
342,호텔루 136,관광호텔업,,서울특별시 은평구 녹번동 141-57번지 ,"서울특별시 은평구 진흥로 136, 호텔루 136 (녹번동)",37.6077401912663,126.925318899784,51.0,2202.61,2203.0,20200514,,1,,,,,2020-05-23 02:40:00.0
343,폼호텔,관광호텔업,,서울특별시 은평구 대조동 186-33번지 ,서울특별시 은평구 연서로28길 21-1 (대조동),37.6170677931188,126.922152489893,,1189.06,1189.0,20171031,,1,,,,,2018-08-31 23:59:59.0
344,벨라지오 관광호텔,관광호텔업,호텔,서울특별시 은평구 불광동 285-14번지 ,서울특별시 은평구 진흥로 205 (불광동),37.6094598079246,126.932007160831,,3820.83,3821.0,20051115,,1,,,,,2020-05-27 02:40:00.0
