,사업장명,지번주소,도로명주소,위도,경도,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자
22,골드 마운틴77,서울특별시 구로구 가리봉동 135-90,서울특별시 구로구 남부순환로105다길 13 (가리봉동),37.4799011070086,126.891203594462,20200525,,1,,,,
23,이비스 스타일 앰배서더 서울 명동,서울특별시 중구 충무로2가 53-10,서울특별시 중구 삼일대로 302 (충무로2가),37.5616825861454,126.989359120022,20150309,,1,,,,
24,(주)호텔롯데 L7 강남,서울특별시 강남구 삼성동 142-41,"서울특별시 강남구 테헤란로 415, L7 HOTELS 강남타워 (삼성동)",37.5057027179383,127.051550959968,2017-12-15,,1,,,,
25,호스텔 27,서울특별시 성동구 용답동 228-12,서울특별시 성동구 자동차시장1길 27 (용답동),37.5614033157753,127.06064967412,2015-10-02,,1,,,,
26,(주)호텔롯데 롯데시티호텔 구로,서울특별시 구로구 구로동 188-25 지밸리비즈플라자,"서울특별시 구로구 디지털로 300, 지밸리비즈플라자 (구로동)",37.4848946937354,126.896539890577,2014-07-21,,1,,,,
27,(주)호텔롯데 롯데시티 호텔마포,서울특별시 마포구 공덕동 467 롯데캐슬프레지던트,"서울특별시 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트)",37.5448825237705,126.950548979183,2009-03-09,,1,,,,
28,신라스테이 삼성,서울특별시 강남구 삼성동 168-3 유니온타워,"서울특별시 강남구 영동대로 506, 유니온타 (삼성동)",37.5100573227007,127.063143122583,2020-04-01,,1,,,,
29,호텔리베라서울,서울특별시 강남구 청담동 53-7,"서울특별시 강남구 영동대로 737 (청담동, 호텔리베라)",37.5238945447249,127.054124187197,1978-05-01,,1,,,,
30,어바웃스테이 신사점,서울특별시 강남구 신사동 502-11,"서울특별시 강남구 강남대로 620, 3층 (신사동, 영일빌딩)",37.5171814543146,127.019845104141,2016-09-23,,1,,,,
31,메리어트 이그제큐티브 아파트먼트 서울,서울특별시 영등포구 여의도동 28-3,"서울특별시 영등포구 여의대로 8 (여의도동, 여의도파크센터)",37.5211769172422,126.918654960576,20070816,,1,,,,
32,호텔 브릿지,서울특별시 영등포구 양평동2가 40-5,서울특별시 영등포구 영등포로 9 (양평동2가),37.523807057583,126.882596179332,20141127,,1,,,,
33,임피리얼팰리스호텔,서울특별시 강남구 논현동 248-7,"서울특별시 강남구 언주로 640 (논현동, 임페리얼팰리스호텔)",37.5139856872084,127.035875892358,1989-09-12,,2,,2023-03-01,2023-08-31,
