,평점,숙박가격,객실수,총후기,경쟁업소_수(1km내),경쟁업소_최단거리(1km내),경쟁업소_최장거리(1km내),경쟁업소_평균거리(1km내),버스정류장_수(1km내),지하철역_수(1km내),버스정류장_최단거리(1km내),버스정류장_평균거리(1km내),지하철역_최단거리(1km내),지하철역_평균거리(1km내),교통유동인구_월평균승차수(1km내),교통유동인구_월평균하차수(1km내),교통유동인구_월평균승하차총계(1km내),관광지_수(1km내),쇼핑몰_수(1km내),관광지_최단거리(1km내),관광지_평균거리(1km내),쇼핑몰_최단거리(1km내),쇼핑몰_평균거리(1km내)
476,4.2,75102,30,37,37,0.02,0.83,0.21,49,5,0.12,0.65,0.17,0.55,36541.64,40812.26,77353.9,12,6,0.44,0.74,0.63,0.77
477,4.6,90000,23,567,25,0.03,0.74,0.25,35,4,0.05,0.6,0.16,0.65,46599.19,48179.89,94779.08,2,1,0.78,0.84,0.23,0.23
478,4.3,75102,20,16,37,0.02,0.87,0.37,47,4,0.12,0.62,0.22,0.49,26862.7,27918.61,54781.31,15,4,0.29,0.84,0.63,0.85
479,4.4,73000,30,1297,36,0.02,0.5,0.17,53,6,0.1,0.67,0.38,0.61,88115.07,89799.17,177914.24,12,7,0.44,0.63,0.42,0.65
480,4.2,60000,24,1758,37,0.04,0.86,0.36,47,4,0.09,0.63,0.19,0.48,26862.7,27918.61,54781.31,14,4,0.28,0.83,0.66,0.85
481,4.2,90000,25,3081,25,0.03,0.81,0.18,37,4,0.02,0.65,0.25,0.64,48928.01,49520.16,98448.17,2,1,0.73,0.79,0.28,0.28
482,5.0,75102,44,9287,37,0.03,0.97,0.18,51,6,0.06,0.66,0.34,0.61,84408.65,87032.07,171440.71,12,7,0.48,0.66,0.46,0.69
483,4.6,90000,75,10853,47,0.03,0.92,0.34,73,4,0.04,0.68,0.38,0.53,29187.19,29735.89,58923.07,6,8,0.32,0.59,0.4,0.62
484,4.7,80000,34,4862,46,0.01,0.97,0.25,84,4,0.12,0.69,0.28,0.58,25294.79,25669.96,50964.74,7,8,0.12,0.53,0.24,0.44
485,4.2,69900,41,20453,47,0.02,0.96,0.31,74,4,0.03,0.67,0.4,0.54,28551.44,29183.65,57735.09,6,8,0.28,0.57,0.35,0.57
486,4.7,70000,25,3457,46,0.16,0.89,0.33,69,4,0.13,0.64,0.43,0.61,27641.93,29004.25,56646.18,7,10,0.26,0.64,0.16,0.59
487,4.7,75000,17,6153,46,0.11,0.95,0.55,83,5,0.08,0.65,0.13,0.69,37520.71,38291.76,75812.48,9,11,0.48,0.69,0.29,0.56
488,4.9,80000,23,8789,45,0.01,0.87,0.28,73,3,0.07,0.62,0.37,0.53,27068.23,27920.14,54988.37,8,9,0.09,0.56,0.06,0.4
489,4.6,75102,30,1977,46,0.01,0.97,0.25,74,4,0.1,0.64,0.33,0.59,27040.26,27518.71,54558.97,7,8,0.11,0.54,0.21,0.43
490,3.8,65000,41,11100,45,0.06,0.88,0.25,76,4,0.12,0.64,0.34,0.62,26451.61,27174.64,53626.24,7,8,0.05,0.51,0.12,0.36
491,4.7,100000,54,8983,45,0.04,0.95,0.24,82,4,0.12,0.67,0.26,0.6,25134.22,25916.94,51051.16,7,8,0.06,0.48,0.19,0.38
492,4.3,50000,49,9571,47,0.02,0.97,0.3,75,4,0.04,0.68,0.39,0.55,28020.1,28742.76,56762.86,5,8,0.26,0.48,0.33,0.56
493,4.5,74500,51,3187,47,0.02,0.94,0.32,74,4,0.02,0.68,0.4,0.54,28551.44,29183.65,57735.09,6,8,0.29,0.58,0.37,0.59
494,4.6,70000,16,4416,46,0.03,0.96,0.5,81,5,0.09,0.64,0.23,0.7,38595.63,39255.98,77851.61,11,11,0.41,0.71,0.27,0.52
495,4.7,75000,40,14890,47,0.01,1.0,0.27,83,4,0.1,0.68,0.25,0.58,25623.29,26003.28,51626.57,7,8,0.12,0.51,0.24,0.43
496,4.6,70000,63,11356,45,0.01,0.89,0.28,76,3,0.06,0.64,0.36,0.53,26199.08,26995.78,53194.86,8,9,0.08,0.55,0.06,0.4
497,4.5,77900,45,13874,47,0.03,0.93,0.31,78,4,0.08,0.69,0.35,0.54,27785.5,28458.84,56244.34,5,8,0.25,0.46,0.35,0.57
498,4.7,139900,65,3184,6,0.0,0.93,0.36,29,3,0.14,0.6,0.33,0.77,59656.03,60475.68,120131.71,12,2,0.23,0.55,0.68,0.75
499,4.3,60000,31,7775,46,0.02,0.96,0.5,83,5,0.08,0.65,0.26,0.7,37804.12,38307.06,76111.18,11,11,0.39,0.7,0.28,0.51
500,4.4,100000,24,2148,46,0.01,0.96,0.25,75,4,0.09,0.65,0.33,0.58,27054.55,27684.17,54738.72,7,8,0.12,0.55,0.22,0.44
501,4.3,98990,61,12799,47,0.0,0.92,0.32,76,4,0.06,0.68,0.37,0.53,28425.12,29161.54,57586.66,5,8,0.28,0.48,0.38,0.59
502,4.3,65000,32,5779,45,0.03,0.95,0.26,79,4,0.07,0.65,0.28,0.63,25289.81,25911.33,51201.14,7,9,0.02,0.46,0.14,0.41
503,4.5,90000,55,2765,46,0.0,0.86,0.38,74,4,0.18,0.68,0.33,0.52,28819.24,29479.82,58299.06,5,8,0.22,0.51,0.38,0.64
504,4.6,80000,49,4218,43,0.23,0.91,0.57,88,5,0.11,0.66,0.5,0.69,34528.25,35399.12,69927.37,11,11,0.21,0.65,0.25,0.51
505,4.3,70000,40,4213,45,0.01,0.97,0.24,81,4,0.13,0.67,0.24,0.59,25094.88,25883.12,50978.0,7,8,0.09,0.49,0.21,0.4
506,4.5,90000,22,5389,47,0.04,0.99,0.27,82,4,0.1,0.69,0.3,0.56,26480.28,27276.19,53756.47,7,8,0.16,0.56,0.28,0.47
507,4.5,75102,37,1364,5,0.55,0.98,0.83,60,7,0.12,0.67,0.37,0.63,48947.82,49002.93,97950.75,8,7,0.65,0.84,0.31,0.68
508,4.5,60000,32,4527,10,0.7,0.97,0.9,97,5,0.1,0.69,0.15,0.64,24224.39,24079.44,48303.83,5,7,0.18,0.49,0.38,0.68
509,4.5,70000,34,2642,4,0.69,0.7,0.7,79,4,0.1,0.58,0.44,0.56,26022.87,26335.92,52358.79,6,5,0.56,0.82,0.18,0.55
510,4.4,70000,23,2902,46,0.02,0.95,0.52,83,5,0.06,0.65,0.27,0.69,37804.12,38307.06,76111.18,11,11,0.39,0.7,0.27,0.51
511,4.6,80000,83,2501,5,0.0,0.7,0.45,69,2,0.07,0.69,0.37,0.52,22971.83,22739.02,45710.86,19,8,0.48,0.8,0.61,0.77
